frame_idx,sensor_rmse,sensor_mae,sensor_abs_rel,sensor_delta_125,da3_rmse,da3_mae,da3_abs_rel,da3_delta_125,v9_rmse,v9_mae,v9_abs_rel,v9_delta_125,fused_da3_rmse,fused_da3_mae,fused_da3_abs_rel,fused_da3_delta_125,fused_v9_rmse,fused_v9_mae,fused_v9_abs_rel,fused_v9_delta_125,sensor_valid_pct,dead_pct
63,0.0,0.0,0.0,100.0,0.6180780529975891,0.3488459885120392,0.2819300889968872,52.199540857479676,1.6897202730178833,1.2756729125976562,2.1096832752227783,5.261525097722902,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.985677083333336,79.01432291666667
64,0.0,0.0,0.0,100.0,0.6412010788917542,0.3565378785133362,0.2967030107975006,48.117880138682516,1.6539794206619263,1.2899353504180908,2.214254140853882,5.3182268449727585,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.03125,78.96875
65,0.0,0.0,0.0,100.0,0.5701446533203125,0.3115309774875641,0.2937186360359192,33.408464813423485,1.452316164970398,1.1903808116912842,2.0853490829467773,5.678687703481092,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.796875,79.203125
66,0.0,0.0,0.0,100.0,0.563798725605011,0.3243912160396576,0.3153085708618164,27.962026877080508,1.812211036682129,1.41335129737854,2.4804747104644775,3.834299099987671,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.122395833333332,78.87760416666667
67,0.0,0.0,0.0,100.0,0.6094601154327393,0.3473169803619385,0.3238813877105713,29.8972225620947,1.7346962690353394,1.3934270143508911,2.5168330669403076,4.643337819650068,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.283854166666664,78.71614583333333
68,0.0,0.0,0.0,100.0,0.6145223379135132,0.33513250946998596,0.31604495644569397,29.08702290076336,1.9578701257705688,1.4790675640106201,2.726066827774048,5.636641221374046,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.321614583333336,78.67838541666666
69,0.0,0.0,0.0,100.0,0.5699580311775208,0.31961333751678467,0.3314351737499237,27.148957237452816,1.8724584579467773,1.5303165912628174,2.7581779956817627,2.5001547125440933,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.040364583333336,78.95963541666666
70,0.0,0.0,0.0,100.0,0.4851365387439728,0.2861804664134979,0.31147411465644836,28.92729733054496,1.7743889093399048,1.4024492502212524,2.5853514671325684,4.846844630335834,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.169270833333336,78.83072916666667
71,0.0,0.0,0.0,100.0,0.5184357166290283,0.29151955246925354,0.3078252375125885,30.080899153955414,1.8943310976028442,1.51552152633667,2.7578089237213135,1.9885135552399185,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.084635416666668,78.91536458333334
72,0.0,0.0,0.0,100.0,0.5398793816566467,0.30645155906677246,0.3256070017814636,27.89736631098501,1.8257696628570557,1.4565067291259766,2.6430482864379883,1.4062789119842103,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.110677083333336,78.88932291666667
73,0.0,0.0,0.0,100.0,0.5548409819602966,0.30122408270835876,0.3137011229991913,30.100228368434408,2.152629852294922,1.624245285987854,2.940112829208374,3.0639431616341026,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.526041666666668,79.47395833333334
74,0.0,0.0,0.0,100.0,0.6558361649513245,0.344183087348938,0.3224468529224396,29.266084707403817,2.490748405456543,1.8144888877868652,3.1955301761627197,4.998383446492078,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.13671875,79.86328125
75,0.0,0.0,0.0,100.0,0.7088114023208618,0.3680897057056427,0.3055855631828308,32.83515073765234,2.419235944747925,1.810802698135376,3.234177589416504,5.695958948043618,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.299479166666668,79.70052083333333
76,0.0,0.0,0.0,100.0,0.794893741607666,0.41674333810806274,0.30177465081214905,33.69854132901134,2.6062827110290527,1.9710651636123657,3.4020631313323975,4.80388978930308,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.084635416666664,79.91536458333334
77,0.0,0.0,0.0,100.0,0.824589192867279,0.45134836435317993,0.32291319966316223,30.52010517539922,2.8538694381713867,2.154029130935669,3.742131471633911,5.714102481882896,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.303385416666668,79.69661458333334
78,0.0,0.0,0.0,100.0,0.8185299038887024,0.45141807198524475,0.3128253221511841,32.262391415431786,2.7672438621520996,2.1074647903442383,3.5865280628204346,4.931016862544711,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.385416666666668,79.61458333333333
79,0.0,0.0,0.0,100.0,0.8261522054672241,0.46934372186660767,0.34351301193237305,26.220095693779903,2.7023212909698486,2.0496585369110107,3.4719600677490234,5.244019138755981,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.41015625,79.58984375
80,0.0,0.0,0.0,100.0,0.8271209597587585,0.4727499783039093,0.34374645352363586,26.231181423832613,2.5142650604248047,1.9553622007369995,3.2932865619659424,5.6710895636642,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.411458333333332,79.58854166666667
81,0.0,0.0,0.0,100.0,0.8421828746795654,0.4743500351905823,0.3343314826488495,28.05017829852267,2.4854376316070557,1.926992416381836,3.27750301361084,7.042791645440652,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.447916666666664,79.55208333333333
82,0.0,0.0,0.0,100.0,0.8473955392837524,0.47733402252197266,0.329921692609787,29.15382639958911,2.437678575515747,1.8933302164077759,3.251995801925659,7.717000513610683,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.28125,79.71875
83,0.0,0.0,0.0,100.0,0.8544763326644897,0.47754165530204773,0.32197126746177673,31.352774922918808,2.398559093475342,1.853333830833435,3.2278456687927246,8.53031860226105,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.270833333333332,79.72916666666666
84,0.0,0.0,0.0,100.0,0.8260432481765747,0.4633525013923645,0.32313841581344604,30.841421867969405,2.4263699054718018,1.8573271036148071,3.194730520248413,8.709905508774185,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.256510416666668,79.74348958333334
