frame,experiment,iou,lethal_iou,detection_rate,false_positive_rate,clearance_pred_m,clearance_gt_m,occupied_cells_pred,occupied_cells_gt,inflation_radius_m,timing_ms
00080,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,513,513,0.0900,14.59
00080,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,513,513,0.1790,57.82
00080,A2,0.443005,0.334045,1.000000,0.046446,0.150000,0.250000,1158,513,0.0900,82.05
00080,A3,0.443005,0.334045,1.000000,0.046446,0.150000,0.250000,1158,513,0.1790,122.03
00080,A4,0.269430,0.236926,0.709265,0.046446,0.150000,0.250000,957,513,0.1800,127.66
00080,A5,0.443005,0.334045,1.000000,0.046446,0.150000,0.250000,1158,513,0.1875,186.42
00080,A6,0.269430,0.236926,0.709265,0.046446,0.150000,0.250000,957,513,0.1948,172.68
00085,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,491,491,0.0900,14.29
00085,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,491,491,0.1771,57.63
00085,A2,0.433363,0.335526,1.000000,0.046157,0.150000,0.250000,1133,491,0.0900,84.00
00085,A3,0.433363,0.335526,1.000000,0.046157,0.150000,0.250000,1133,491,0.1771,126.31
00085,A4,0.253310,0.232456,0.692810,0.046157,0.150000,0.250000,929,491,0.1800,129.38
00085,A5,0.433363,0.335526,1.000000,0.046157,0.150000,0.250000,1133,491,0.1883,195.88
00085,A6,0.253310,0.232456,0.692810,0.046157,0.150000,0.250000,929,491,0.1961,180.87
00090,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,522,522,0.0900,23.97
00090,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,522,522,0.1781,71.18
00090,A2,0.485581,0.377934,1.000000,0.039847,0.150000,0.250000,1075,522,0.0900,103.13
00090,A3,0.485581,0.377934,1.000000,0.039847,0.150000,0.250000,1075,522,0.1781,148.80
00090,A4,0.282791,0.260563,0.689441,0.039847,0.150000,0.250000,857,522,0.1800,137.01
00090,A5,0.485581,0.377934,1.000000,0.039847,0.150000,0.250000,1075,522,0.1888,223.97
00090,A6,0.282791,0.260563,0.689441,0.039847,0.150000,0.250000,857,522,0.1980,200.13
00095,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,529,529,0.0900,13.85
00095,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,529,529,0.1788,58.96
00095,A2,0.484432,0.368182,1.000000,0.040588,0.150000,0.250000,1092,529,0.0900,84.83
00095,A3,0.484432,0.368182,1.000000,0.040588,0.150000,0.250000,1092,529,0.1788,128.92
00095,A4,0.292125,0.253409,0.688272,0.040588,0.150000,0.250000,882,529,0.1800,132.03
00095,A5,0.484432,0.368182,1.000000,0.040588,0.150000,0.250000,1092,529,0.1891,198.53
00095,A6,0.292125,0.253409,0.688272,0.040588,0.150000,0.250000,882,529,0.1980,185.47
00100,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,522,522,0.0900,16.68
00100,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,522,522,0.1780,64.85
00100,A2,0.451557,0.344280,1.000000,0.045684,0.111803,0.250000,1156,522,0.0900,91.09
00100,A3,0.451557,0.344280,1.000000,0.045684,0.111803,0.250000,1156,522,0.1780,143.38
00100,A4,0.278547,0.238347,0.692308,0.045684,0.111803,0.250000,956,522,0.1800,164.41
00100,A5,0.451557,0.344280,1.000000,0.045684,0.111803,0.250000,1156,522,0.1889,210.82
00100,A6,0.278547,0.238347,0.692308,0.045684,0.111803,0.250000,956,522,0.1971,194.20
00105,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,517,517,0.0900,12.86
00105,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,517,517,0.1800,48.92
00105,A2,0.450741,0.344051,1.000000,0.045379,0.150000,0.250000,1147,517,0.0900,72.43
00105,A3,0.450741,0.344051,1.000000,0.045379,0.150000,0.250000,1147,517,0.1800,107.61
00105,A4,0.287707,0.244373,0.710280,0.045379,0.150000,0.250000,960,517,0.1473,106.63
00105,A5,0.450741,0.344051,1.000000,0.045379,0.150000,0.250000,1147,517,0.1875,172.89
00105,A6,0.287707,0.244373,0.710280,0.045379,0.150000,0.250000,960,517,0.1950,160.11
00110,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,541,541,0.0900,13.50
00110,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,541,541,0.1800,58.72
00110,A2,0.434887,0.328780,1.000000,0.050725,0.150000,0.250000,1244,541,0.0900,79.87
00110,A3,0.434887,0.328780,1.000000,0.050725,0.150000,0.250000,1244,541,0.1800,125.67
00110,A4,0.277331,0.227317,0.691395,0.050725,0.150000,0.250000,1048,541,0.1453,126.39
00110,A5,0.434887,0.328780,1.000000,0.050725,0.150000,0.250000,1244,541,0.1877,194.73
00110,A6,0.277331,0.227317,0.691395,0.050725,0.150000,0.250000,1048,541,0.1953,181.67
00115,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,582,582,0.0900,14.35
00115,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,582,582,0.1800,62.60
00115,A2,0.478225,0.355422,1.000000,0.045955,0.150000,0.250000,1217,582,0.0900,84.66
00115,A3,0.478225,0.355422,1.000000,0.045955,0.150000,0.250000,1217,582,0.1800,135.06
00115,A4,0.294988,0.239960,0.675141,0.045955,0.150000,0.250000,994,582,0.1418,137.78
00115,A5,0.478225,0.355422,1.000000,0.045955,0.150000,0.250000,1217,582,0.1868,206.32
00115,A6,0.294988,0.239960,0.675141,0.045955,0.150000,0.250000,994,582,0.1955,191.03
00120,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,549,549,0.0900,15.60
00120,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,549,549,0.1743,71.86
00120,A2,0.448529,0.344246,1.000000,0.048733,0.150000,0.250000,1224,549,0.0900,102.50
00120,A3,0.448529,0.344246,1.000000,0.048733,0.150000,0.250000,1224,549,0.1743,155.03
00120,A4,0.289216,0.247024,0.717579,0.048733,0.150000,0.250000,1029,549,0.1420,155.39
00120,A5,0.448529,0.344246,1.000000,0.048733,0.150000,0.250000,1224,549,0.1862,242.01
00120,A6,0.289216,0.247024,0.717579,0.048733,0.150000,0.250000,1029,549,0.1934,227.07
00125,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,516,516,0.0900,14.24
00125,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,516,516,0.1746,62.57
00125,A2,0.414458,0.309500,1.000000,0.052506,0.150000,0.250000,1245,516,0.0900,83.56
00125,A3,0.414458,0.309500,1.000000,0.052506,0.150000,0.250000,1245,516,0.1746,134.55
00125,A4,0.269076,0.229187,0.740506,0.052506,0.150000,0.250000,1064,516,0.1460,129.78
00125,A5,0.414458,0.309500,1.000000,0.052506,0.150000,0.250000,1245,516,0.1870,194.36
00125,A6,0.269076,0.229187,0.740506,0.052506,0.150000,0.250000,1064,516,0.1928,180.44
00130,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,529,529,0.0900,15.65
00130,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,529,529,0.1730,66.50
00130,A2,0.474014,0.360491,1.000000,0.042319,0.150000,0.250000,1116,529,0.0900,91.13
00130,A3,0.474014,0.360491,1.000000,0.042319,0.150000,0.250000,1116,529,0.1730,140.98
00130,A4,0.301075,0.260045,0.721362,0.042319,0.150000,0.250000,923,529,0.1492,139.71
00130,A5,0.474014,0.360491,1.000000,0.042319,0.150000,0.250000,1116,529,0.1869,214.47
00130,A6,0.301075,0.260045,0.721362,0.042319,0.150000,0.250000,923,529,0.1944,198.91
00135,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,498,498,0.0900,13.80
00135,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,498,498,0.1735,65.55
00135,A2,0.393676,0.292754,1.000000,0.055172,0.150000,0.250000,1265,498,0.0900,82.85
00135,A3,0.393676,0.292754,1.000000,0.055172,0.150000,0.250000,1265,498,0.1735,137.98
00135,A4,0.236364,0.204831,0.699670,0.055172,0.150000,0.250000,1066,498,0.1478,133.11
00135,A5,0.393676,0.292754,1.000000,0.055172,0.150000,0.250000,1265,498,0.1881,212.71
00135,A6,0.236364,0.204831,0.699670,0.055172,0.150000,0.250000,1066,498,0.1947,198.95
00140,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,500,500,0.0900,14.69
00140,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,500,500,0.1764,58.22
00140,A2,0.374813,0.277419,1.000000,0.060000,0.111803,0.250000,1334,500,0.0900,84.04
00140,A3,0.374813,0.277419,1.000000,0.060000,0.111803,0.250000,1334,500,0.1764,127.75
00140,A4,0.209895,0.188940,0.681063,0.060000,0.111803,0.250000,1114,500,0.1414,127.84
00140,A5,0.374813,0.277419,1.000000,0.060000,0.111803,0.250000,1334,500,0.1907,197.21
00140,A6,0.209895,0.188940,0.681063,0.060000,0.111803,0.250000,1114,500,0.1976,182.81
00145,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,488,488,0.0900,13.86
00145,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,488,488,0.1768,57.56
00145,A2,0.380359,0.282398,1.000000,0.057145,0.150000,0.250000,1283,488,0.0900,79.87
00145,A3,0.380359,0.282398,1.000000,0.057145,0.150000,0.250000,1283,488,0.1768,124.52
00145,A4,0.214341,0.196325,0.695205,0.057145,0.150000,0.250000,1070,488,0.1424,125.00
00145,A5,0.380359,0.282398,1.000000,0.057145,0.150000,0.250000,1283,488,0.1914,195.53
00145,A6,0.214341,0.196325,0.695205,0.057145,0.150000,0.250000,1070,488,0.1981,181.81
00150,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,430,430,0.0900,13.06
00150,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,430,430,0.1769,56.70
00150,A2,0.393773,0.300000,1.000000,0.047387,0.150000,0.250000,1092,430,0.0900,80.63
00150,A3,0.393773,0.300000,1.000000,0.047387,0.150000,0.250000,1092,430,0.1769,123.92
00150,A4,0.228938,0.210227,0.700758,0.047387,0.150000,0.250000,912,430,0.1432,125.11
00150,A5,0.393773,0.300000,1.000000,0.047387,0.150000,0.250000,1092,430,0.1907,192.14
