frame,experiment,iou,lethal_iou,detection_rate,false_positive_rate,clearance_pred_m,clearance_gt_m,occupied_cells_pred,occupied_cells_gt,inflation_radius_m,timing_ms
000032,A2,0.928033,0.919019,1.000000,0.008048,1.000000,1.000000,1459,1354,0.0900,65.40
000032,A3,0.928033,0.919019,1.000000,0.008048,1.000000,1.000000,1459,1354,0.1530,90.01
000032,A4,0.908156,0.897474,0.976556,0.008048,1.050000,1.000000,1430,1354,0.1520,56.72
000033,Baseline,1.000000,1.000000,1.000000,0.000000,0.970824,0.970824,1220,1220,0.0900,17.87
000033,A1,1.000000,1.000000,1.000000,0.000000,0.970824,0.970824,1220,1220,0.1560,41.19
000033,A2,0.920755,0.908410,1.000000,0.007967,0.970824,0.970824,1325,1220,0.0900,37.41
000033,A3,0.920755,0.908410,1.000000,0.007967,0.970824,0.970824,1325,1220,0.1560,61.70
000033,A4,0.881509,0.863447,0.950504,0.007967,1.050000,0.970824,1273,1220,0.1535,43.78
000034,Baseline,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,949,949,0.0900,20.33
000034,A1,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,949,949,0.1566,43.61
000034,A2,0.893597,0.877944,1.000000,0.008401,1.000000,1.000000,1062,949,0.0900,39.47
000034,A3,0.893597,0.877944,1.000000,0.008401,1.000000,1.000000,1062,949,0.1566,62.75
000034,A4,0.857815,0.839400,0.956098,0.008401,1.019804,1.000000,1024,949,0.1547,44.02
000035,Baseline,1.000000,1.000000,1.000000,0.000000,0.970824,0.970824,791,791,0.0900,21.80
000035,A1,1.000000,1.000000,1.000000,0.000000,0.970824,0.970824,791,791,0.1573,53.85
000035,A2,0.918699,0.910547,1.000000,0.005144,0.970824,0.970824,861,791,0.0900,44.97
000035,A3,0.918699,0.910547,1.000000,0.005144,0.970824,0.970824,861,791,0.1573,78.84
000035,A4,0.896632,0.882510,0.969208,0.005144,1.000000,0.970824,842,791,0.1471,57.03
000036,Baseline,1.000000,1.000000,1.000000,0.000000,0.951315,0.951315,683,683,0.0900,23.44
000036,A1,1.000000,1.000000,1.000000,0.000000,0.951315,0.951315,683,683,0.0844,47.80
000036,A2,0.911883,0.909938,1.000000,0.004812,0.951315,0.951315,749,683,0.0900,42.33
000036,A3,0.911883,0.909938,1.000000,0.004812,0.951315,0.951315,749,683,0.0844,68.94
000036,A4,0.862483,0.852484,0.936860,0.004812,1.050000,0.951315,712,683,0.0500,44.81
000037,Baseline,1.000000,1.000000,1.000000,0.000000,0.850000,0.850000,647,647,0.0900,22.36
000037,A1,1.000000,1.000000,1.000000,0.000000,0.850000,0.850000,647,647,0.1053,55.30
000037,A2,0.789988,0.731812,1.000000,0.012506,0.538516,0.850000,819,647,0.0900,44.62
000037,A3,0.789988,0.731812,1.000000,0.012506,0.538516,0.850000,819,647,0.1053,75.79
000037,A4,0.774115,0.706134,0.964912,0.012506,0.538516,0.850000,806,647,0.1070,49.12
000038,Baseline,1.000000,1.000000,1.000000,0.000000,0.509902,0.509902,715,715,0.0900,17.99
000038,A1,1.000000,1.000000,1.000000,0.000000,0.509902,0.509902,715,715,0.1491,45.28
000038,A2,0.873016,0.814590,1.000000,0.007600,0.509902,0.509902,819,715,0.0900,39.09
000038,A3,0.873016,0.814590,1.000000,0.007600,0.509902,0.509902,819,715,0.1491,65.59
000038,A4,0.752137,0.689970,0.847015,0.007600,0.750000,0.509902,720,715,0.1376,51.32
000039,Baseline,1.000000,1.000000,1.000000,0.000000,0.538516,0.538516,895,895,0.0900,21.22
000039,A1,1.000000,1.000000,1.000000,0.000000,0.538516,0.538516,895,895,0.0952,50.07
000039,A2,0.806306,0.748428,1.000000,0.015920,0.538516,0.538516,1110,895,0.0900,42.04
000039,A3,0.806306,0.748428,1.000000,0.015920,0.538516,0.538516,1110,895,0.0952,69.85
